arm,tag,volume_fraction_target,volume_fraction,compliance_J,mass_kg,grey_level,iterations,converged,stop_reason,seconds,num_elements,num_dofs,penalty,filter_radius_m,filter_support,youngs_modulus_Pa,full_solid_compliance_J,equal_mass_plate_compliance_J,stiffness_gain_over_equal_mass_plate,retained_elements,connected_groups,islands_discarded_m3,interpreted_compliance_J,compliance_vs_simp_ratio,interpreted_mass_kg,interpreted_max_von_mises_Pa,interpreted_analysis_failed,compliance_down_limit_J,compliance_up_reversal_J,compliance_lateral_J,weight_down_limit,weight_up_reversal,weight_lateral,f1_topology_Hz,topology_mass_kg,f1_solid_Hz
load_weighting,w_1_0.5_2,0.35,0.34999999998903175,1.8290027470629262,0.4720799999852278,0.10891447581086791,239,True,design_change,24.744370365,9600,19602,3.0,0.0037499999999998875,8.875416666666666,71700000000,0.6757477509240357,1.9307078598434635,1.0556068671541685,3370,1,0.0,1.5936544557007446,0.8713242548486536,0.4734849999999987,148376889.04272285,False,5.198220420658721,1.2995551051646803,0.2767558207395906,1,0.5,2.0,,,
load_weighting,w_1_0_0,0.35,0.35000000002910503,5.266647152031229,0.4720800000392787,0.12301734877693067,286,True,design_change,30.178371158,9600,19602,3.0,0.0037499999999998875,8.875416666666666,71700000000,1.975968747713479,5.645624992997608,1.0719580845320567,3374,1,0.0,4.530467649935985,0.8602185639470235,0.47404699999999783,144651902.69514203,False,5.266647152031229,1.3166617880078073,0.45533908635774356,1,0.0,0.0,,,
mesh_fixed_cells,n_120x80,0.35,0.3500000000005512,3.035991514686477,0.4720800000007653,0.11900052861398641,203,True,design_change,21.237563749,9600,19602,3.0,0.0037499999999998875,8.875416666666666,71700000000,1.1292514564708898,3.2264327327688895,1.062727849258195,3376,1,0.0,2.619519021266908,0.8628215884646248,0.47432799999999875,146291495.0717428,False,5.2266288306236826,1.3066572076559206,0.3840511898426232,1,0.5,0.5,,,
mesh_fixed_cells,n_180x120,0.35,0.3499999999889436,2.8629992777825906,0.47207999998505173,0.08090954887444911,259,True,objective_stall,102.283887292,21600,43802,3.0,0.0024999999999999597,8.916851851851852,71700000000,1.128400885056187,3.2240025288338083,1.1260926797476585,7568,1,0.0,2.588567231648229,0.9041452618364225,0.47257955555554554,153096855.35352987,False,4.92786163119465,1.2319654077986626,0.3643084409423988,1,0.5,0.5,,,
mesh_fixed_cells,n_240x160,0.35,0.3500000000095084,2.781059470288782,0.4720800000127635,0.06789860031943959,418,True,objective_stall,481.748205888,38400,77602,3.0,0.0018749999999998247,8.937604166666667,71700000000,1.118826549873771,3.1966472852667884,1.1494350694107422,13470,1,0.0,2.5578416097910495,0.9197363943912519,0.4731337500000305,161048101.31225896,False,4.793403889123882,1.1983509722809704,0.33907913062639583,1,0.5,0.5,,,
mesh_fixed_cells,n_60x40,0.35,0.3499999999873683,3.572305236772351,0.4720799999829618,0.20214335197687003,120,True,design_change,1.94095501,2400,5002,3.0,0.0074999999999999165,8.751666666666667,71700000000,1.174992361636025,3.357121033366946,0.9397632091484354,848,1,0.0,2.7878248995301362,0.7803994101156349,0.4765759999999984,129605419.47849682,False,6.171726659901393,1.5429316649753482,0.4028359623112697,1,0.5,0.5,,,
mesh_fixed_cells,n_90x60,0.35,0.34999999999602743,3.2436347688077833,0.4720799999946461,0.14726396113893742,244,True,design_change,10.601611372,5400,11102,3.0,0.0050000000000000955,8.834074074074074,71700000000,1.159471544531646,3.312775841556589,1.0213159241643655,1898,1,0.0,2.713472108201362,0.8365529110414346,0.47407822222222534,135328669.22375834,False,5.594618818920926,1.3986547047302316,0.3866467326590487,1,0.5,0.5,,,
mesh_fixed_r,n_120x80,0.35,0.35000000000085496,3.035991514684466,0.47208000000117495,0.1190005286140728,203,True,design_change,21.798599433,9600,19602,3.0,0.00375,8.875416666666666,71700000000,1.1292514564708898,3.2264327327660896,1.0627278492579768,3376,1,0.0,2.619519021266908,0.8628215884651963,0.47432799999999875,146291495.0717428,False,5.2266288306201325,1.3066572076550331,0.38405118984256625,1,0.5,0.5,,,
mesh_fixed_r,n_180x120,0.35,0.34999999998898235,3.000875727816871,0.47207999998510397,0.11157093581487824,268,True,design_change,103.868571806,21600,43802,3.0,0.00375,20.69537037037037,71700000000,1.128400885056187,3.2240025288334513,1.0743538957472605,7576,1,0.0,2.5850075163654473,0.8614177163031117,0.47307911111110074,150882179.1910543,False,5.173183186353741,1.2932957965884353,0.36384074197156613,1,0.5,0.5,,,
mesh_fixed_r,n_240x160,0.35,0.34999999999797615,3.000154507793161,0.47207999999720873,0.11613334673546442,375,True,objective_stall,441.97134982,38400,77602,3.0,0.00375,26.071770833333332,71700000000,1.118826549873771,3.196647285372116,1.0654942194038834,13476,1,0.0,2.551381814669305,0.8504168062151032,0.47334450000003137,160293612.07930654,False,5.169873580953393,1.2924683952383482,0.3684024740275108,1,0.5,0.5,,,
mesh_fixed_r,n_60x40,0.35,0.35000000002641224,2.7822554763516565,0.4720800000356243,0.037106915183516775,82,True,design_change,1.173983832,2400,5002,3.0,0.00375,1.0,71700000000,1.174992361636025,3.3571210329924455,1.2066185372001152,676,145,3.840000000000009e-05,16.32762126893999,5.868483828217757,0.37991199999999875,358773666.76464385,False,4.808043030612801,1.2020107576532002,0.31092508652782336,1,0.5,0.5,,,
mesh_fixed_r,n_90x60,0.35,0.3499999999925427,3.0311571573053033,0.4720799999899459,0.09058740318072776,125,True,design_change,6.050223782,5400,11102,3.0,0.00375,4.944444444444445,71700000000,1.159471544531646,3.312775841589572,1.0929079785934384,1900,1,0.0,2.740589562596824,0.9041397131098298,0.47457777777778126,137713059.44023228,False,5.217223931900579,1.3043059829751447,0.38587478244491225,1,0.5,0.5,,,
penalty,p_1.5,0.35,0.3500000000053457,2.677343649307926,0.4720800000072321,0.2861440116197657,304,True,design_change,32.533260998,9600,19602,1.5,0.0037499999999998875,8.875416666666666,71700000000,1.1292514564708898,3.226432732724692,1.2050872638477699,2976,1,0.0,18.071537063829435,6.749801083062608,0.418127999999998,539330951.1620077,False,4.670308606366029,1.1675771515915072,0.20118023290813902,1,0.5,0.5,,,
penalty,p_2.0,0.35,0.3500000000078906,2.8284450612231895,0.4720800000106647,0.12799799711994062,301,True,design_change,30.851023247,9600,19602,2.0,0.0037499999999998875,8.875416666666666,71700000000,1.1292514564708898,3.226432732701232,1.1407089983589531,3390,1,0.0,2.59493952343074,0.9174438489211922,0.47629499999999864,147280265.2923162,False,4.8778705079248414,1.2194676269812104,0.3385716020618643,1,0.5,0.5,,,
penalty,p_2.5,0.35,0.3499999999930047,2.9388842684811753,0.4720799999905866,0.12071707984250753,294,True,design_change,30.843026959,9600,19602,2.5,0.0037499999999998875,8.875416666666666,71700000000,1.1292514564708898,3.226432732838456,1.0978427314886703,3370,1,0.0,2.61683271987147,0.8904170701569877,0.4734849999999989,147091300.3993449,False,5.064028870055905,1.2660072175139763,0.3614721162989137,1,0.5,0.5,,,
penalty,p_3.0,0.35,0.3500000000005512,3.035991514686477,0.4720800000007653,0.11900052861398641,203,True,design_change,21.47012664,9600,19602,3.0,0.0037499999999998875,8.875416666666666,71700000000,1.1292514564708898,3.2264327327688895,1.062727849258195,3376,1,0.0,2.619519021266908,0.8628215884646248,0.47432799999999875,146291495.0717428,False,5.2266288306236826,1.3066572076559206,0.3840511898426232,1,0.5,0.5,,,
penalty,p_3.5,0.35,0.3499999999823903,3.1209009328413106,0.47207999997626987,0.11799158473564723,225,True,design_change,22.264300386,9600,19602,3.5,0.0037499999999998875,8.875416666666666,71700000000,1.1292514564708898,3.2264327329363036,1.0338145306005966,3370,1,0.0,2.626738474187134,0.8416603188348294,0.4734849999999987,145281281.58183092,False,5.370281511038595,1.3425703777596487,0.40047033152840283,1,0.5,0.5,,,
penalty,p_4.0,0.35,0.3499999999846039,3.2026311334990507,0.47207999997925554,0.11726123857848887,212,True,design_change,22.605697714,9600,19602,4.0,0.0037499999999998875,8.875416666666666,71700000000,1.1292514564708898,3.2264327329158977,1.0074318891013971,3364,1,0.0,2.6347393690835745,0.8226796216162979,0.47264199999999856,145293055.28547096,False,5.510200846560234,1.3775502116400584,0.4125726292356785,1,0.5,0.5,,,
penalty,p_5.0,0.35,0.34999999998973047,3.363405207467206,0.4720799999861703,0.11654133019220526,212,True,design_change,22.924426733,9600,19602,5.0,0.0037499999999998875,8.875416666666666,71700000000,1.1292514564708898,3.226432732868639,0.9592756548350256,3360,1,0.0,2.646416074567085,0.7868264188601748,0.4720799999999985,144932454.09774083,False,5.784126274301283,1.4460315685753207,0.4393367126909361,1,0.5,0.5,,,
volume_fraction,vf_0.15,0.15,0.1500000000026037,10.415157119952518,0.2023200000035212,0.11958251865233985,219,True,design_change,22.949677588,9600,19602,3.0,0.0037499999999998875,8.875416666666666,71700000000,1.1292514564708898,7.528343043008588,0.7228256814855338,1456,1,0.0,7.3692200159117665,0.7075476568466172,0.20456799999999942,210393355.82855976,False,17.765430424340998,4.4413576060852495,1.6884100250428267,1,0.5,0.5,1470.4472444358987,0.20456799999998415,1429.6656238580345
volume_fraction,vf_0.20,0.2,0.20000000000818574,6.528294091774811,0.2697600000110534,0.12667477076715158,269,True,design_change,28.491506582,9600,19602,3.0,0.0037499999999998875,8.875416666666666,71700000000,1.1292514564708898,5.646257282123355,0.864890153958787,1932,1,0.0,5.100699641641063,0.7813219762981548,0.27144600000000013,183080414.8550012,False,11.159210406185434,2.7898026015463584,1.0049529531820167,1,0.5,0.5,1764.3332580860879,0.2714459999999807,1429.6656238580345
volume_fraction,vf_0.25,0.25,0.24999999997950803,4.659096562469265,0.33719999997237604,0.12181939897131035,359,True,design_change,35.916732241,9600,19602,3.0,0.0037499999999998875,8.875416666666666,71700000000,1.1292514564708898,4.517005826253809,0.9695025131352611,2412,1,0.0,3.842171755194776,0.8246602541241325,0.33888599999999847,163964248.7307315,False,7.9839521117505,1.995988027937625,0.6724939984384344,1,0.5,0.5,1896.4228617647364,0.338886000000006,1429.6656238580345
volume_fraction,vf_0.30,0.3,0.2999999999869839,3.6971207189344244,0.4046399999824626,0.1209674264034108,260,True,design_change,28.217740973,9600,19602,3.0,0.0037499999999998875,8.875416666666666,71700000000,1.1292514564708898,3.7641715217329486,1.0181359517029374,2890,1,0.0,3.135609592478823,0.8481220470892714,0.40604499999999766,152751648.63312525,False,6.348617992880989,1.5871544982202472,0.5040923917554717,1,0.5,0.5,1953.8680799403292,0.4060450000000348,1429.6656238580345
volume_fraction,vf_0.35,0.35,0.3500000000005512,3.035991514686477,0.4720800000007653,0.11900052861398641,203,True,design_change,22.231693236,9600,19602,3.0,0.0037499999999998875,8.875416666666666,71700000000,1.1292514564708898,3.2264327327688895,1.062727849258195,3376,1,0.0,2.619519021266908,0.8628215884646248,0.47432799999999875,146291495.0717428,False,5.2266288306236826,1.3066572076559206,0.3840511898426232,1,0.5,0.5,2006.6016516660904,0.47432800000006614,1429.6656238580345
volume_fraction,vf_0.40,0.4,0.4000000000233967,2.5849825819441214,0.5395200000315824,0.11082044635531652,237,True,design_change,25.266817134,9600,19602,3.0,0.0037499999999998875,8.875416666666666,71700000000,1.1292514564708898,2.8231286410120946,1.092126755797661,3864,1,0.0,2.26753596538706,0.8771958392391507,0.5428919999999984,137683108.2396539,False,4.468707923447457,1.1171769808618643,0.28533750001970737,1,0.5,0.5,2011.371423970498,0.5428920000000808,1429.6656238580345
volume_fraction,vf_0.50,0.5,0.5000000000422897,1.9892389447435086,0.6744000000570716,0.09821417472303932,217,True,design_change,22.822396269,9600,19602,3.0,0.0037499999999998875,8.875416666666666,71700000000,1.1292514564708898,2.2585029127507568,1.1353602938042051,4824,1,0.0,1.7831400057433058,0.8963930705535342,0.6777719999999982,127502531.74984643,False,3.456121281918015,0.8640303204795038,0.18068289465850035,1,0.5,0.5,2064.822106180624,0.6777720000000356,1429.6656238580345
volume_fraction,vf_0.60,0.6,0.5999999999696036,1.6259286398177006,0.8092799999590389,0.07640295143027385,214,True,objective_stall,22.540191783,9600,19602,3.0,0.0037499999999998875,8.875416666666666,71700000000,1.1292514564708898,1.882085760880164,1.157545119010379,5788,1,0.0,1.4799834534508476,0.9102388734703533,0.8132140000000112,122063804.95556523,False,2.8415639912529507,0.7103909978132377,0.11019557895166354,1,0.5,0.5,1999.876650565564,0.8132139999999782,1429.6656238580345
youngs_modulus,E_110e9,0.35,0.3499999999989375,1.9789144691359821,0.4720799999985887,0.11900052861637225,203,True,design_change,21.638607498,9600,19602,3.0,0.0037499999999998875,8.875416666666666,110000000000,0.7360666311782955,2.1030475176586574,1.062727849262163,3376,1,0.0,1.7074501256841494,0.8628215884588699,0.47432799999999875,146291495.0721333,False,3.40681170144756,0.85170292536189,0.25033154828691884,1,0.5,0.5,2485.409363334613,0.47432800000006614,1770.807038373725
youngs_modulus,E_200e9,0.35,0.35000000001291615,1.088402957975138,0.4720800000174431,0.11900052860476504,203,True,design_change,20.764304633,9600,19602,3.0,0.0037499999999998875,8.875416666666666,200000000000,0.404836647145978,1.156676134660109,1.0627278492627275,3376,1,0.0,0.9390975691254516,0.8628215884974682,0.47432799999999875,146291495.0719936,False,1.8737464357114924,0.4684366089278731,0.13768235154969424,1,0.5,0.5,3351.325301852506,0.47432800000006614,2387.755723428693
youngs_modulus,E_45e9,0.35,0.34999999999734666,4.837346480106751,0.47207999999644296,0.1190005286186979,203,True,design_change,19.699402314,9600,19602,3.0,0.0037499999999998875,8.875416666666666,45000000000,1.7992739873098584,5.140782820924282,1.0627278492589671,3376,1,0.0,4.17376697389487,0.8628215884595397,0.47432799999999875,146291495.07213667,False,8.327761936860021,2.0819404842150053,0.6119215624919578,1,0.5,0.5,1589.6731700999844,0.47432800000006614,1132.6119873309701
youngs_modulus,E_71.7e9,0.35,0.3500000000005512,3.035991514686477,0.4720800000007653,0.11900052861398641,203,True,design_change,19.806126269,9600,19602,3.0,0.0037499999999998875,8.875416666666666,71700000000,1.1292514564708898,3.2264327327688895,1.062727849258195,3376,1,0.0,2.619519021266908,0.8628215884646248,0.47432799999999875,146291495.0717428,False,5.2266288306236826,1.3066572076559206,0.3840511898426232,1,0.5,0.5,2006.6016516660904,0.47432800000006614,1429.6656238580345
